,personId,name,nameI,firstName,familyName,jerseyNum,assignment,gameId
195,1198,Scott Wall,S. Wall,Scott,Wall,31  ,,22200568
196,201639,Josh Tiven,J. Tiven,Josh,Tiven,58  ,,22200568
197,202053,Scott Twardoski,S. Twardoski,Scott,Twardoski,52  ,,22200568
198,1146,Tony Brothers,T. Brothers,Tony,Brothers,25  ,,22200569
199,202901,Matt Myers,M. Myers,Matt,Myers,43  ,,22200569
200,204058,Gediminas Petraitis,G. Petraitis,Gediminas,Petraitis,50  ,,22200569
201,2530,Ed Malloy,E. Malloy,Ed,Malloy,14  ,,22200573
202,203591,Mitchell Ervin,M. Ervin,Mitchell,Ervin,27  ,,22200573
203,1629178,Sha'Rae Mitchell,S. Mitchell,Sha'Rae,Mitchell,76  ,,22200573
204,1201,Leon Wood,L. Wood,Leon,Wood,40  ,,22200574
205,2534,Zach Zarba,Z. Zarba,Zach,Zarba,15  ,,22200574
206,203593,Justin Van Duyne,J. Van Duyne,Justin,Van Duyne,64  ,,22200574
207,2714,David Guthrie,D. Guthrie,David,Guthrie,16  ,,22200575
208,202056,CJ Washington,C. Washington,CJ,Washington,12  ,,22200575
209,1628953,Ashley Moyer-Gleich,A. Moyer-Gleich,Ashley,Moyer-Gleich,13  ,,22200575
210,201246,Kevin Cutler,K. Cutler,Kevin,Cutler,34  ,,22200563
211,202007,Nick Buchert,N. Buchert,Nick,Buchert,3   ,,22200563
212,202035,Brett Nansel,B. Nansel,Brett,Nansel,44  ,,22200563
213,1146,Tony Brothers,T. Brothers,Tony,Brothers,25  ,,22200552
214,1155,JB DeRosa,J. DeRosa,JB,DeRosa,22  ,,22200552
215,1627529,Suyash Mehta,S. Mehta,Suyash,Mehta,82  ,,22200552
216,2882,Sean Wright,S. Wright,Sean,Wright,4   ,,22200554
217,1627519,John Conley,J. Conley,John,Conley,79  ,,22200554
218,1627541,Natalie Sago,N. Sago,Natalie,Sago,9   ,,22200554
219,1148,James Capers,J. Capers,James,Capers,19  ,,22200556
220,203054,Cheryl Flores,C. Flores,Cheryl,Flores,91  ,,22200556
221,203591,Mitchell Ervin,M. Ervin,Mitchell,Ervin,27  ,,22200556
222,1201,Leon Wood,L. Wood,Leon,Wood,40  ,,22200558
223,2534,Zach Zarba,Z. Zarba,Zach,Zarba,15  ,,22200558
224,1628951,John Butler,J. Butler,John,Butler,30  ,,22200558
225,1155,JB DeRosa,J. DeRosa,JB,DeRosa,22  ,,22200538
226,101284,John Goble,J. Goble,John,Goble,10  ,,22200538
227,203177,Lauren Holtkamp,L. Holtkamp,Lauren,Holtkamp,7   ,,22200538
228,200834,Mark Lindsay,M. Lindsay,Mark,Lindsay,29  ,,22200540
229,201638,Brent Barnaky,B. Barnaky,Brent,Barnaky,36  ,,22200540
230,202037,J.T. Orr,J. Orr,J.T.,Orr,72  ,,22200540
231,202058,James Williams,J. Williams,James,Williams,60  ,,22200542
232,203592,Dedric Taylor,D. Taylor,Dedric,Taylor,21  ,,22200542
